project,version,num_downloads
urllib3,1.26.6,50403469
six,1.16.0,49830830
certifi,2021.5.30,42406616
pyasn1,0.4.8,35037126
wheel,0.36.2,34657198
typing-extensions,3.10.0.0,34453288
python-dateutil,2.8.1,33577844
jmespath,0.10.0,32359383
pyyaml,5.4.1,32321944
idna,2.10,30675567
pip,21.1.3,30460381
chardet,4.0.0,29330388
setuptools,57.1.0,29040415
requests,2.25.1,28520938
s3transfer,0.4.2,26255139
pyparsing,2.4.7,24905264
click,7.1.2,23713366
rsa,4.7.2,23212219
requests-oauthlib,1.3.0,23046804
packaging,21.0,22806758
pycparser,2.20,22368730
pytz,2021.1,21659994
oauthlib,3.1.1,21543501
zipp,3.5.0,20639294
markupsafe,2.0.1,20277568
protobuf,3.17.3,20045516
attrs,21.2.0,19981339
chardet,3.0.4,19885739
importlib-metadata,4.6.1,18991549
markupsafe,1.1.1,18919865
docutils,0.15.2,18528979
toml,0.10.2,17359315
idna,3.2,16984799
itsdangerous,1.1.0,16761631
isodate,0.6.0,16725245
pyasn1-modules,0.2.8,16666219
colorama,0.4.3,15331919
cachetools,4.2.2,15101921
msrest,0.6.21,14922945
cffi,1.14.6,14700571
werkzeug,1.0.1,14657655
jinja2,2.11.3,14630219
wrapt,1.12.1,14403773
click,8.0.1,14144454
colorama,0.4.4,13950461
jinja2,3.0.1,13718682
py,1.10.0,13247690
cffi,1.14.5,13170672
six,1.15.0,12574109
requests,2.26.0,12317868
lxml,4.6.3,12316256
python-dateutil,2.8.2,12200619
filelock,3.0.12,12053071
cryptography,3.4.7,11957599
discord,1.0.1,11827629
attrs,20.3.0,11767333
async-timeout,3.0.1,11757372
multidict,5.1.0,11387524
pyjwt,2.1.0,11378405
numpy,1.21.0,11362514
pluggy,0.13.1,11301587
websocket-client,1.1.0,11203552
googleapis-common-protos,1.53.0,11165191
flask,1.1.2,11096926
appdirs,1.4.4,11063705
google-auth,1.32.1,10837507
jsonschema,3.2.0,10810148
yarl,1.6.3,10707736
urllib3,1.25.11,10707289
decorator,5.0.9,10341491
pygments,2.9.0,10241267
greenlet,1.1.0,10187829
aiohttp,3.7.4.post0,10174376
mccabe,0.6.1,10154368
pyrsistent,0.18.0,10113503
