project,num_downloads
boto3,127230362
urllib3,66381281
botocore,61175492
requests,59492890
idna,56487658
typing-extensions,52539749
setuptools,51311632
charset-normalizer,49128552
certifi,47582574
s3transfer,47331937
google-api-core,46615610
python-dateutil,41648407
six,40020817
wheel,39995570
pyyaml,37517589
cryptography,35666563
click,33397276
awscli,33276769
numpy,31667123
pip,30666450
jinja2,30578181
attrs,30541532
pyparsing,29529834
packaging,29490915
importlib-metadata,29204562
colorama,28063124
zipp,28055198
pytz,27304392
markupsafe,27069912
protobuf,26256395
rsa,26181539
pyasn1,25697812
jmespath,25188512
pyjwt,24674478
pandas,24477053
cffi,23492849
werkzeug,21594206
oauthlib,21528338
pycparser,21287571
aiobotocore,20599907
multidict,20422422
yarl,19578938
flask,19271967
requests-oauthlib,19118839
google-auth,17378819
fsspec,17205763
docutils,17007045
wrapt,16795437
s3fs,16636150
googleapis-common-protos,16496180
cachetools,16319299
pyarrow,16109106
aiohttp,15663124
psutil,15521823
itsdangerous,14942173
sqlalchemy,14868552
pyasn1-modules,14781082
google-cloud-bigquery,14769031
async-timeout,14396653
chardet,14040198
tomli,13949239
isodate,13681168
soupsieve,12838006
greenlet,12801376
platformdirs,12791494
grpcio,12742339
lxml,12740914
beautifulsoup4,12588945
grpcio-status,12583681
jsonschema,12567077
azure-core,12527501
decorator,12447335
pyopenssl,12375651
google-cloud-storage,12267823
pluggy,12148426
frozenlist,11983215
filelock,11886327
pillow,11854614
aiosignal,11487451
discord-py,11373142
websocket-client,11293769
pytest,11241810
pyrsistent,11200711
tqdm,11109787
asn1crypto,10969166
msrest,10880073
google-cloud-core,10761601
importlib-resources,10396509
et-xmlfile,10341623
scipy,10242335
openpyxl,10240450
pydantic,10150827
tabulate,10142678
discord,10139768
google-api-python-client,10096860
google-resumable-media,9873294
requests-toolbelt,9613036
iniconfig,9285123
virtualenv,9194711
pynacl,9157479
psycopg2-binary,8761136
azure-storage-blob,8661531
pygments,8601364
future,8563190
deprecated,8513830
toml,8510469
proto-plus,8408583
pymysql,8180235
azure-common,7948413
sqlparse,7926407
py,7856410
httplib2,7807716
paramiko,7798642
bcrypt,7769873
py4j,7760988
scikit-learn,7751626
distlib,7739554
exceptiongroup,7555868
matplotlib,7518197
mypy-extensions,7464293
more-itertools,7455895
coverage,7314538
pathspec,7311015
docker,7216276
cython,6947339
gitpython,6865480
google-auth-oauthlib,6716451
cloudpickle,6632375
kiwisolver,6591535
pycodestyle,6582600
sniffio,6575769
pyspark,6568702
smmap,6566464
gitdb,6534671
termcolor,6462441
ptyprocess,6406940
msal,6393365
msgpack,6357174
pexpect,6319929
redis,6267418
tzdata,6264009
uritemplate,6246751
pycryptodomex,6238417
cycler,6238366
wcwidth,6191095
h11,6135487
portalocker,6001997
tzlocal,5939219
mccabe,5889513
pymongo,5835317
pyodbc,5814881
isort,5800688
cfn-lint,5773856
msal-extensions,5745358
gunicorn,5672448
absl-py,5659714
google-cloud-pubsub,5654089
scramp,5651438
adal,5583819
regex,5577644
snowflake-connector-python,5575931
google-crc32c,5569043
keyring,5566448
webencodings,5561013
marshmallow,5468069
python-dotenv,5454980
markdown,5454769
google-auth-httplib2,5427321
dill,5367126
joblib,5241595
datadog,5233801
oscrypto,5194161
azure-identity,5160584
setuptools-scm,5156949
xlrd,5154604
anyio,5113456
mako,4991295
ply,4984279
dnspython,4978264
asynctest,4970723
prompt-toolkit,4947352
secretstorage,4924951
pg8000,4923085
babel,4817329
jeepney,4799474
tensorflow-serving-api,4769483
ruamel-yaml,4761135
xmltodict,4751491
awswrangler,4699657
traitlets,4682728
redshift-connector,4607720
flake8,4588748
tenacity,4554467
sagemaker,4542453
tornado,4541774
alembic,4525812
threadpoolctl,4520471
fonttools,4503497
backoff,4500059
networkx,4485136
pytz-deprecation-shim,4419136
pkginfo,4401558
sentry-sdk,4372694
ruamel-yaml-clib,4363552
pyflakes,4332385
defusedxml,4318866
rich,4309023
pyathena,4284920
pbr,4268637
nest-asyncio,4261665
websockets,4221555
simplejson,4169324
backports-zoneinfo,4160627
jaraco-classes,4150938
pkgutil-resolve-name,4137941
toolz,4133664
ipython,4111016
requests-aws4auth,4097434
tomlkit,4086098
nbconvert,4019299
oauth2client,4017011
prometheus-client,3971131
pycryptodome,3962725
tensorboard,3954418
jsonpath-ng,3901890
google-cloud-bigquery-storage,3889234
jedi,3873183
progressbar2,3804617
elasticsearch,3773257
black,3764082
python-utils,3759060
databricks-cli,3732933
zope-interface,3729724
lazy-object-proxy,3717452
google-cloud-secret-manager,3706302
apache-airflow,3704918
tensorflow,3693953
pytest-cov,3666839
sortedcontainers,3636346
httpcore,3629462
poetry-core,3617432
backcall,3587505
pickleshare,3575061
jupyter-client,3561199
parso,3558657
entrypoints,3520654
mysql-connector-python,3516842
aioitertools,3475525
grpc-google-iam-v1,3435891
rfc3986,3432801
lockfile,3424215
msrestazure,3385101
opensearch-py,3331341
psycopg2,3327465
kubernetes,3316264
html5lib,3288534
argcomplete,3274997
cattrs,3266401
marshmallow-enum,3231406
httpx,3221282
tensorflow-estimator,3185663
astroid,3169644
gast,3158598
python-slugify,3111660
matplotlib-inline,3101075
pyzmq,3097392
pylint,3080866
cachecontrol,3079814
typing-inspect,3075880
appdirs,3036556
imageio,2994493
cached-property,2946992
mistune,2939392
requests-file,2933525
bleach,2924704
selenium,2891483
h5py,2875833
smart-open,2845416
ujson,2816694
humanfriendly,2811726
nbformat,2795257
pysocks,2772439
azure-storage-common,2768442
shellingham,2750168
jsonpointer,2734825
contextlib2,2724376
starlette,2718969
commonmark,2710449
watchtower,2705758
ipykernel,2700975
mypy,2679468
nltk,2677881
google-pasta,2673953
fastjsonschema,2644593
text-unidecode,2619781
unidecode,2618855
numba,2614857
jupyter-core,2593179
azure-nspkg,2585150
asgiref,2571007
mlflow,2556453
jsonpatch,2550737
configparser,2546869
xlsxwriter,2534834
google-cloud-dlp,2530463
jupyter-server,2488030
mock,2487073
docopt,2487058
notebook,2480102
fastavro,2466252
bs4,2463791
poetry,2462025
cleo,2450398
fastapi,2439808
llvmlite,2431563
tinycss2,2424399
futures,2400342
typer,2399370
pylev,2394269
aenum,2374505
crashtest,2366499
dataclasses,2366215
uvicorn,2359363
applicationinsights,2355496
querystring-parser,2354670
azure-mgmt-resource,2342895
uamqp,2332712
debugpy,2318241
typed-ast,2317239
pysftp,2306802
snowflake-sqlalchemy,2302287
dulwich,2295863
cachy,2291821
croniter,2291023
ipython-genutils,2287263
keras,2278404
uvloop,2276509
opencensus,2260689
jsonpickle,2259092
thrift,2243119
opencensus-context,2237003
send2trash,2219122
distro,2215085
statsmodels,2209916
graphviz,2187844
gspread,2181841
slack-sdk,2178687
altair,2173839
poetry-plugin-export,2172995
azure-mgmt-core,2145133
pep517,2138270
libcst,2136288
pendulum,2128715
boto,2127408
flask-appbuilder,2108288
confluent-kafka,2106075
xgboost,2085158
django,2077561
tensorboard-plugin-wit,2040672
sphinx,2037453
contourpy,2033645
plotly,2013979
arrow,2012802
flatbuffers,2011433
nbclient,2010161
torch,2005896
transformers,1989260
responses,1984551
gremlinpython,1977879
tokenizers,1962648
azureml-core,1951723
connexion,1950955
avro-python3,1950331
retrying,1945986
async-generator,1922925
colorlog,1919318
nbclassic,1918433
seaborn,1910998
retry,1899923
pytzdata,1896580
flask-wtf,1895116
opt-einsum,1894683
hvac,1890925
watchdog,1885258
patsy,1869768
notebook-shim,1858381
azure-keyvault-secrets,1847723
snowballstemmer,1841861
tensorboard-data-server,1839496
sentencepiece,1834535
shapely,1824205
google-cloud-logging,1814067
azure-storage-queue,1806772
kafka-python,1801949
flask-login,1801258
typing,1800991
pip-tools,1799763
multiprocess,1797292
pandocfilters,1796667
fire,1794664
identify,1783612
argon2-cffi,1778011
pygithub,1776269
ipywidgets,1775786
dataclasses-json,1767263
pycrypto,1760895
widgetsnbextension,1760101
asttokens,1758112
markdown-it-py,1753642
enum34,1748491
flask-session,1737687
pytest-mock,1737318
pytest-runner,1730746
executing,1727276
mdit-py-plugins,1721277
jupyterlab-pygments,1715118
terminado,1707938
opencensus-ext-azure,1706038
nodeenv,1704053
fuzzywuzzy,1695194
flask-jwt-extended,1693664
delta-spark,1691063
huggingface-hub,1688417
stack-data,1684115
cfgv,1682807
ijson,1680357
semver,1677946
pandas-gbq,1673189
argon2-cffi-bindings,1672597
zeep,1672490
stringcase,1669873
tensorflow-metadata,1668142
inflection,1658557
build,1656960
gevent,1656782
google-cloud-bigtable,1652171
click-plugins,1651554
pre-commit,1650252
python-json-logger,1647913
mdurl,1645220
prettytable,1639718
